tag,kernel,model,best_params_str,val_mse,test_mse,test_mae,test_r2,load_graphs_sec,gram_sec,fit_sec,total_sec,n_train,n_val,n_test,run_dir,tau
tau_0.30,baseline,mean,,0.0073321711718762,0.0016088045859661,0.0306791850931143,-0.0041254362563132,,,,0.0102536678314208,1450,253,984,results/fixed/tau_0.30/baseline/mean/run_0001,0.3
tau_0.30,baseline,ridge,lambda=10.0,0.0077178875220558,0.0017211151665996,0.0343247866952311,-0.0742233908236724,,,0.0004775524139404,0.3778841495513916,1450,253,984,results/fixed/tau_0.30/baseline/ridge/run_0001,0.3
tau_0.30,sp,krr,lambda=1.0,0.0072057016135707,0.0016106301160745,0.0310906955008566,-0.0052648295875705,5.903283596038818,49.31909513473511,0.7411632537841797,56.88274049758911,1450,253,984,results/fixed/tau_0.30/sp/krr/run_0001,0.3
tau_0.30,sp,svr,"C=100.0, eps=0.05",0.0067776962236814,0.0016024718168101,0.0319252684783501,-0.0001728775385616,6.132896184921265,49.872244119644165,0.8669073581695557,57.79579472541809,1450,253,984,results/fixed/tau_0.30/sp/svr/run_0001,0.3
tau_0.30,wl,krr,lambda=1e-06,0.0068026917137964,0.0015715113967943,0.0305625940141955,0.0191508772084323,6.068838119506836,2.6490042209625244,0.5110397338867188,10.195641994476318,1450,253,984,results/fixed/tau_0.30/wl/krr/run_0001,0.3
tau_0.30,wl,svr,"C=10.0, eps=0.01",0.0063157205011531,0.0015167015678847,0.0300275193001949,0.0533600930728804,5.94037675857544,2.5249571800231934,0.2820072174072265,9.577475547790527,1450,253,984,results/fixed/tau_0.30/wl/svr/run_0001,0.3
tau_0.40,baseline,mean,,0.0073321715976118,0.0016088045774691,0.0306791852052608,-0.0041254362229827,,,,0.0102505683898925,1450,253,984,results/fixed/tau_0.40/baseline/mean/run_0001,0.4
tau_0.40,baseline,ridge,lambda=10.0,0.0077178878529847,0.0017211151652365,0.0343247867663716,-0.07422339561084,,,0.0004160404205322,0.382965087890625,1450,253,984,results/fixed/tau_0.40/baseline/ridge/run_0001,0.4
tau_0.40,sp,krr,lambda=3e-05,0.007042784325872,0.0016457374298446,0.0308034454956506,-0.0271768478250546,4.830043315887451,39.33308982849121,0.7500646114349365,45.79189515113831,1450,253,984,results/fixed/tau_0.40/sp/krr/run_0001,0.4
tau_0.40,sp,svr,"C=100.0, eps=0.05",0.0066487624635071,0.0016191058969341,0.0328926959579493,-0.0105549411151664,4.875892162322998,39.45950937271118,1.0849735736846924,46.37427115440369,1450,253,984,results/fixed/tau_0.40/sp/svr/run_0001,0.4
tau_0.40,wl,krr,lambda=0.1,0.0068919160173034,0.0014332695668057,0.0286385521302967,0.1054336560516457,5.064462184906006,2.120112895965576,0.5025908946990967,8.601477146148682,1450,253,984,results/fixed/tau_0.40/wl/krr/run_0001,0.4
tau_0.40,wl,svr,"C=10.0, eps=0.05",0.0066042114821152,0.0014145711697889,0.0295241459419803,0.1171041450122766,4.883786916732788,2.1238391399383545,0.2625172138214111,8.111549139022827,1450,253,984,results/fixed/tau_0.40/wl/svr/run_0001,0.4
tau_0.50,baseline,mean,,0.0073321713985978,0.0016088045420042,0.0306791853595354,-0.0041254370561267,,,,0.0103974342346191,1450,253,984,results/fixed/tau_0.50/baseline/mean/run_0001,0.5
tau_0.50,baseline,ridge,lambda=10.0,0.0077178878543962,0.001721115117936,0.0343247864862452,-0.0742233906602753,,,0.000460147857666,0.3759710788726806,1450,253,984,results/fixed/tau_0.50/baseline/ridge/run_0001,0.5
tau_0.50,sp,krr,lambda=1e-06,0.0069019448003464,0.0017635466698956,0.0319697133334573,-0.1007067822371023,3.9465198516845694,26.49880433082581,0.7509074211120605,32.18552231788635,1450,253,984,results/fixed/tau_0.50/sp/krr/run_0001,0.5
tau_0.50,sp,svr,"C=1.0, eps=0.05",0.0066474497365503,0.001666477253034,0.0325830265886544,-0.0401215041090761,3.938072204589844,26.56786417961121,0.9516482353210448,32.44529891014099,1450,253,984,results/fixed/tau_0.50/sp/svr/run_0001,0.5
tau_0.50,wl,krr,lambda=0.1,0.0065809678836067,0.0015865878094764,0.0301923671450792,0.0097409995910646,4.108137130737305,1.6935186386108398,0.5009355545043945,7.222999572753906,1450,253,984,results/fixed/tau_0.50/wl/krr/run_0001,0.5
tau_0.50,wl,svr,"C=10.0, eps=0.05",0.0065741984273431,0.0016133436966197,0.0320523339324664,-0.006958522426786,3.965160131454468,1.6958584785461426,0.2859337329864502,6.79988431930542,1450,253,984,results/fixed/tau_0.50/wl/svr/run_0001,0.5
